,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
609,BP 110/02 (717221),ZSK 70.8,23010078,19:34,6,LK,11,2.08,FAIL,72.67,5.62,23.45,-1.77,1.04,0.36,54.03,"1,77 dunkler","1,04 röter","0,36 gelber",1.63,2829 (10.02.2023 10:26:01)
610,BP 110/02 (717221),MP,23010078,5:43,6,LK,11,2.16,FAIL,72.59,5.64,23.49,-1.84,1.06,0.4,54.16,"1,84 dunkler","1,06 röter","0,40 gelber",1.68,2830 (10.02.2023 10:27:16)
611,BP 110/02 (717221),ZSK 70.8,23010079,18:30,6,LK,11,1.95,FAIL,72.67,5.4,23.2,-1.76,0.82,0.12,53.38,"1,76 dunkler","0,82 röter","0,12 gelber",1.52,2838 (13.02.2023 08:05:23)
612,BP 110/02 (717221),ZSK 70.8,23010079,10:03,7,LK,11,4.31,FAIL,70.48,6.13,23.79,-3.96,1.55,0.71,56.33,"3,96 dunkler","1,55 röter","0,71 gelber",3.29,2847 (13.02.2023 10:43:52)
613,BP 110/02 (717231),ZSK 70.8,23010079,11:00 AA,7,SK,11,3.39,FAIL,71.44,5.95,23.87,-3,1.38,0.79,55.76,"3,00 dunkler","1,38 röter","0,79 gelber",2.57,2852 (13.02.2023 11:50:42)
614,BP 110/02 (717221),MP,23010079,11:58,6,LK,11,3.59,FAIL,71.39,6.17,24.1,-3.05,1.59,1.02,56.41,"3,05 dunkler","1,59 röter","1,02 gelber",2.7,2855 (13.02.2023 12:48:58)
615,BP 110/02 (717221),ZSK 70.8,23010080,20:18,7,LK,11,2.6,FAIL,72.04,5.56,23.39,-2.39,0.98,0.3,54.19,"2,39 dunkler","0,98 röter","0,30 gelber",2,2873 (14.02.2023 11:18:42)
616,BP 110/02 (717221),ZSK 70.8,23010080,18:00 AA,7,LK,11,2.69,FAIL,72.09,5.77,23.68,-2.34,1.2,0.6,54.9,"2,34 dunkler","1,20 röter","0,60 gelber",2.06,2874 (14.02.2023 11:19:55)
617,BP 110/02 (717221),ZSK 70.8,23010080,6:23,7,LK,11,3.08,FAIL,71.76,5.94,23.78,-2.68,1.36,0.69,55.41,"2,68 dunkler","1,36 röter","0,69 gelber",2.35,2875 (14.02.2023 11:28:44)
618,BP 110/02 (717221),ZSK 70.8,23010080,06:51 AA,7,LK,11,3.05,FAIL,71.83,5.85,24.06,-2.6,1.27,0.97,55.76,"2,60 dunkler","1,27 röter","0,97 gelber",2.26,2876 (14.02.2023 11:30:17)
619,BP 110/02 (717221),MP,23010080,15:58,7,LK,11,1.42,FAIL,73.22,5.29,23.18,-1.22,0.72,0.09,52.95,"1,22 dunkler","0,72 röter","0,09 gelber",1.13,2900 (15.02.2023 10:20:30)
620,BP 110/02 (717221),ZSK 70.8,23010081,18:00,7,LK,11,2.09,FAIL,72.79,5.48,23.99,-1.65,0.91,0.91,54.77,"1,65 dunkler","0,91 röter","0,91 gelber",1.49,2901 (15.02.2023 10:23:00)
621,BP 110/02 (717221),ZSK 70.8,23010081,18:00 AA,7,LK,11,2.22,FAIL,72.6,5.45,23.98,-1.83,0.87,0.9,54.81,"1,83 dunkler","0,87 röter","0,90 gelber",1.59,2902 (15.02.2023 10:24:37)
622,BP 110/02 (717221),ZSK 70.8,23010081,6:07,7,LK,11,1.89,FAIL,75.68,4.12,21.75,1.25,-0.46,-1.33,48.14,"1,25 heller","0,46 weniger rot","1,33 weniger gelb",1.17,2903 (15.02.2023 10:25:57)
623,BP 110/02 (717221),ZSK 70.8,23010081,6:30,7,LK,11,1.37,FAIL,75.48,4.26,22.26,1.05,-0.32,-0.82,49.26,"1,05 heller","0,32 weniger rot","0,82 weniger gelb",0.89,2904 (15.02.2023 10:27:10)
624,BP 110/02 (717221),ZSK 70.8,23010082,6:21,7,LK,11,3.33,FAIL,76.77,3.64,20.9,2.34,-0.94,-2.19,45.72,"2,34 heller","0,94 weniger rot","2,19 weniger gelb",2.13,2918 (16.02.2023 08:05:57)
625,BP 110/02 (717221),ZSK 70.8,23010082,06:00 AA,7,LK,11,2.76,FAIL,76.46,3.79,21.39,2.03,-0.79,-1.7,46.85,"2,03 heller","0,79 weniger rot","1,70 weniger gelb",1.8,2919 (16.02.2023 08:06:51)
626,BP 110/02 (717221),ZSK 70.8,23010081,18:00,7,LK,11,2.69,FAIL,76.44,3.68,21.52,2,-0.9,-1.56,46.99,"2,00 heller","0,90 weniger rot","1,56 weniger gelb",1.8,2931 (16.02.2023 12:03:22)
627,BP 110/02 (717221),ZSK 70.8,23010081,18:00,7,LK,11,2.34,FAIL,76.16,3.96,21.64,1.73,-0.62,-1.45,47.58,"1,73 heller","0,62 weniger rot","1,45 weniger gelb",1.51,2932 (16.02.2023 12:05:22)
628,BP 110/02 (717221),ZSK 70.8,23010081,19:55,7,LK,11,2.88,FAIL,76.25,3.76,21,1.81,-0.82,-2.08,46.24,"1,81 heller","0,82 weniger rot","2,08 weniger gelb",1.78,2933 (16.02.2023 12:07:16)
629,BP 110/02 (717221),ZSK 70.8,23010083,06:00 AA,7,LK,11,2.11,FAIL,76.06,4.16,21.81,1.63,-0.42,-1.28,48.11,"1,63 heller","0,42 weniger rot","1,28 weniger gelb",1.37,2955 (17.02.2023 08:34:13)
630,BP 110/02 (717221),ZSK 70.8,23010082,18:00,7,LK,11,3.1,FAIL,76.83,3.64,21.35,2.4,-0.94,-1.73,46.48,"2,40 heller","0,94 weniger rot","1,73 weniger gelb",2.08,2967 (17.02.2023 10:15:53)
631,BP 110/02 (717221),ZSK 70.8,23010082,18:00,7,LK,11,2.9,FAIL,76.64,3.84,21.35,2.2,-0.74,-1.74,46.75,"2,20 heller","0,74 weniger rot","1,74 weniger gelb",1.9,2968 (17.02.2023 10:16:57)
632,BP 110/02 (717221),MP,23010082,0:20,7,LK,11,3.06,FAIL,76.73,3.69,21.26,2.3,-0.89,-1.82,46.42,"2,30 heller","0,89 weniger rot","1,82 weniger gelb",2.02,2969 (17.02.2023 10:18:02)
633,BP 110/02 (717221),ZSK 70.8,23010083,11:52,7,LK,11,0.4,PASS,74.71,4.6,22.79,0.27,0.03,-0.3,50.86,"0,27 heller","0,03 röter","0,30 weniger gelb",0.26,2979 (17.02.2023 12:16:27)
634,BP 110/02 (717221),ZSK 70.8,23010084,10:00,8,TP,11,2.26,FAIL,76.03,4.05,21.58,1.59,-0.53,-1.51,47.62,"1,59 heller","0,53 weniger rot","1,51 weniger gelb",1.43,3005 (20.02.2023 11:13:21)
635,BP 110/02 (717221),ZSK 70.8,23010084,10:15,8,TP,11,1.15,FAIL,74.1,4.86,22.02,-0.34,0.28,-1.06,50.08,"0,34 dunkler","0,28 röter","1,06 weniger gelb",0.72,3006 (20.02.2023 11:14:27)
636,BP 110/02 (717221),ZSK 70.5,99230059,-,8,SK,11,1.22,FAIL,75.39,3.9,22.75,0.96,-0.68,-0.33,49.8,"0,96 heller","0,68 weniger rot","0,33 weniger gelb",0.95,3007 (21.02.2023 07:18:48)
637,BP 110/02 (717231),ZSK 70.8,23010084,06:00 AA,8,SK,11,1.88,FAIL,75.69,4.08,21.78,1.26,-0.5,-1.3,48.16,"1,26 heller","0,50 weniger rot","1,30 weniger gelb",1.17,3018 (21.02.2023 12:42:24)
638,BP 110/02 (717231),ZSK 70.8,23010084,6:00,8,SK,11,2.46,FAIL,76.08,3.9,21.38,1.64,-0.68,-1.7,47.11,"1,64 heller","0,68 weniger rot","1,70 weniger gelb",1.54,3019 (21.02.2023 12:43:41)
639,BP 110/02 (717231),MP,23010084 1-22,14:01,8,SK,11,2.32,FAIL,76.18,4.09,21.65,1.75,-0.49,-1.44,47.71,"1,75 heller","0,49 weniger rot","1,44 weniger gelb",1.49,3032 (21.02.2023 14:37:46)
640,BP 110/02 (717231),ZSK 70.8,23010085,18:02,8,SK,11,1.81,FAIL,75.84,4.06,22.07,1.41,-0.52,-1.01,48.57,"1,41 heller","0,52 weniger rot","1,01 weniger gelb",1.21,3034 (22.02.2023 10:19:07)
641,BP 110/02 (717231),ZSK 70.8,3010085,06:00 AA,8,SK,11,2.18,FAIL,75.88,3.93,21.59,1.45,-0.65,-1.5,47.59,"1,45 heller","0,65 weniger rot","1,50 weniger gelb",1.38,3035 (22.02.2023 10:35:40)
642,BP 110/02 (717231),ZSK 70.8,23010085,6:00,8,SK,11,2.64,FAIL,76.12,3.8,21.21,1.68,-0.78,-1.88,46.7,"1,68 heller","0,78 weniger rot","1,88 weniger gelb",1.64,3036 (22.02.2023 10:36:52)
643,BP 110/02 (717221),ZSK 70.8,23010086,06:00 AA,8,LK,11,2.15,FAIL,76.07,3.89,21.87,1.63,-0.68,-1.22,47.96,"1,63 heller","0,68 weniger rot","1,22 weniger gelb",1.44,3067 (23.02.2023 12:01:42)
644,BP 110/02 (717221),ZSK 70.8,23010086,6:00,8,LK,11,3.16,FAIL,76.55,3.63,20.95,2.12,-0.95,-2.14,45.88,"2,12 heller","0,95 weniger rot","2,14 weniger gelb",2.01,3068 (23.02.2023 12:03:33)
645,BP 110/02 (717221),ZSK 70.8,23010086,18:00,8,LK,11,2.04,FAIL,75.88,3.98,21.79,1.45,-0.6,-1.3,47.98,"1,45 heller","0,60 weniger rot","1,30 weniger gelb",1.31,3069 (23.02.2023 12:04:45)
646,BP 110/02 (717221),MP,23010085,17:33,8,LK,11,2.05,FAIL,75.96,3.86,21.91,1.52,-0.72,-1.18,48.05,"1,52 heller","0,72 weniger rot","1,18 weniger gelb",1.38,3070 (23.02.2023 12:06:27)
647,BP 110/02 (717231),MP,23010086 1-22,19:04,8,SK,11,1.82,FAIL,75.76,3.99,21.98,1.32,-0.59,-1.11,48.38,"1,32 heller","0,59 weniger rot","1,11 weniger gelb",1.2,3080 (24.02.2023 11:21:41)
648,BP 600 (616521),ZSK 70.11,23160030,18:00,8,SK,11,3.12,FAIL,73.73,5.07,20.09,-0.7,0.5,-2.99,47.01,"0,70 dunkler","0,50 röter","2,99 weniger gelb",1.86,3081 (24.02.2023 11:25:19)
649,BP 110/02 (717221),ZSK 70.8,23010087,18:00,8,LK,11,0.64,PASS,74.95,4.49,22.71,0.52,-0.08,-0.37,50.51,"0,52 heller","0,08 weniger rot","0,37 weniger gelb",0.42,3088 (24.02.2023 11:51:12)
650,BP 110/02 (717221),ZSK 70.8,23010087,06:00 AA,8,LK,11,0.89,Warnung,75.14,4.34,22.61,0.71,-0.24,-0.48,50.09,"0,71 heller","0,24 weniger rot","0,48 weniger gelb",0.59,3089 (24.02.2023 11:52:19)
651,BP 110/02 (717221),ZSK 70.8,23010087,6:00,8,LK,11,1.53,FAIL,75.7,4.17,22.33,1.26,-0.41,-0.75,49.19,"1,26 heller","0,41 weniger rot","0,75 weniger gelb",1.04,3090 (24.02.2023 11:53:53)
652,BP 110/02 (717221),ZSK 70.8,23010087,9:45,8,LK,11,1.01,FAIL,75.16,4.17,22.52,0.72,-0.41,-0.57,49.76,"0,72 heller","0,41 weniger rot","0,57 weniger gelb",0.69,3091 (24.02.2023 11:55:07)
653,BP 110/02 (717231),ZSK 70.8,23010087,18:00,9,SK,11,2.94,FAIL,76.52,3.45,21.34,2.08,-1.13,-1.74,46.42,"2,08 heller","1,13 weniger rot","1,74 weniger gelb",1.98,3100 (27.02.2023 08:20:30)
654,BP 110/02 (717231),ZSK 70.8,23010087 1-22,22:00,9,SK,11,1.85,FAIL,75.81,4,21.99,1.37,-0.58,-1.09,48.39,"1,37 heller","0,58 weniger rot","1,09 weniger gelb",1.22,3101 (27.02.2023 08:24:19)
655,BP 610 (616021),ZSK 70.2,23150015,18:00,9,SK,11,6.5,FAIL,69.06,6.4,19.92,-5.37,1.82,-3.16,50.34,"5,37 dunkler","1,82 röter","3,16 weniger gelb",4.96,3102 (27.02.2023 08:25:56)
656,BP 600 (616521),ZSK 70.11,23160030,18:00,9,SK,11,4.04,FAIL,76.27,4.01,19.53,1.83,-0.56,-3.56,43.86,"1,83 heller","0,56 weniger rot","3,56 weniger gelb",2.26,3103 (27.02.2023 08:32:46)
657,BP 110/02 (717231),ZSK 70.8,23010089,8:30,9,SK,11,2.49,FAIL,75.76,3.74,21.15,1.32,-0.84,-1.94,46.7,"1,32 heller","0,84 weniger rot","1,94 weniger gelb",1.5,3104 (27.02.2023 10:07:54)
658,BP 110/02 (717231),ZSK 70.8,23010089,10:30 AA,9,SK,11,0.64,PASS,74.83,4.23,22.74,0.4,-0.35,-0.35,50.35,"0,40 heller","0,35 weniger rot","0,35 weniger gelb",0.45,3110 (27.02.2023 12:16:53)
659,BP 110/02 (717231),ZSK 70.5,23010089 UWG,10:45,9,SK,11,1.92,FAIL,73.47,4.98,24.7,-0.97,0.4,1.61,55.12,"0,97 dunkler","0,40 röter","1,61 gelber",1.07,3111 (27.02.2023 12:18:14)
660,BP 110/02 (717231),ZSK 70.5,23010089,11:40,9,SK,11,1.27,FAIL,73.7,4.84,24.08,-0.73,0.27,1,53.82,"0,73 dunkler","0,27 röter","1,00 gelber",0.74,3112 (27.02.2023 12:57:50)
661,BP 110/02 (717221),ZSK 70.5+8,23010089,13:40 AA,9,LK,11,0.34,PASS,74.72,4.47,23.24,0.29,-0.11,0.15,51.5,"0,29 heller","0,11 weniger rot","0,15 gelber",0.26,3113 (27.02.2023 14:14:44)
662,BP 110/02 (717221),MP,23010088,14:00,9,LK,11,2.74,FAIL,76.3,3.71,21.28,1.87,-0.87,-1.81,46.65,"1,87 heller","0,87 weniger rot","1,81 weniger gelb",1.76,3114 (27.02.2023 14:44:54)
663,BP 110/02 (717221),ZSK 70.9,99230073,Muster 1,9,LK,11,3.81,FAIL,77.73,2.98,22.05,3.3,-1.6,-1.03,46.68,"3,30 heller","1,60 weniger rot","1,03 weniger gelb",2.85,3115 (27.02.2023 14:46:54)
664,BP 110/02 (717221),ZSK 70.9,99230073,Muster 2,9,LK,11,4.1,FAIL,77.98,2.84,21.97,3.54,-1.74,-1.11,46.3,"3,54 heller","1,74 weniger rot","1,11 weniger gelb",3.07,3116 (27.02.2023 14:48:40)
665,BP 110/02 (717221),ZSK 70.9,99230073,Muster,9,LK,11,4.24,FAIL,77.93,2.85,21.43,3.5,-1.72,-1.66,45.4,"3,50 heller","1,72 weniger rot","1,66 weniger gelb",3.07,3117 (27.02.2023 14:49:34)
666,BP 110/02 (717231),ZSK 70.5,23010089,17:50,9,SK,11,1.09,FAIL,75.38,4.13,23.39,0.94,-0.45,0.31,51.12,"0,94 heller","0,45 weniger rot","0,31 gelber",0.85,3118 (28.02.2023 12:10:27)
667,BP 110/02 (717231),ZSK 70.5+8,23010089,18:00 AA,9,SK,11,1.3,FAIL,75.46,4.12,22.43,1.03,-0.46,-0.66,49.41,"1,03 heller","0,46 weniger rot","0,66 weniger gelb",0.9,3119 (28.02.2023 12:11:23)
668,BP 110/02 (7172231),ZSK 70.8,23010089,20:17,9,SK,11,0.7,PASS,74.05,4.66,22.5,-0.38,0.08,-0.58,50.74,"0,38 dunkler","0,08 röter","0,58 weniger gelb",0.43,3120 (28.02.2023 12:13:09)
669,BP 110/02 (717231),MP,23010089 1-22,23:14,9,SK,11,0.63,PASS,73.81,4.66,23.1,-0.63,0.09,0.02,51.91,"0,63 dunkler","0,09 röter","0,02 gelber",0.47,3121 (28.02.2023 12:14:09)
670,BP 110/02 (717231),ZSK 70.8,23010089,17:51,9,SK,11,1.95,FAIL,75.78,3.96,21.81,1.34,-0.61,-1.28,48.05,"1,34 heller","0,61 weniger rot","1,28 weniger gelb",1.25,3122 (28.02.2023 12:19:29)
671,BP 110/02 (717231),ZSK 70.5+8,23010090,06:00 AA,9,SK,11,0.48,PASS,74.35,4.58,23.55,-0.08,0.01,0.47,52.34,"0,08 dunkler","0,01 röter","0,47 gelber",0.24,3128 (28.02.2023 13:39:10)
672,BP 110/02 (717231),ZSK 70.5,23010090,6:20,9,SK,11,1.12,FAIL,74.48,4.48,24.2,0.04,-0.1,1.11,53.27,"0,04 heller","0,10 weniger rot","1,11 gelber",0.59,3129 (28.02.2023 13:41:43)
673,BP 110/02 (717231),ZSK 70.8,23010090,6:20,9,SK,11,0.23,PASS,74.23,4.68,23.13,-0.2,0.11,0.04,51.77,"0,20 dunkler","0,11 röter","0,04 gelber",0.18,3130 (28.02.2023 13:43:06)
674,BP 110/02 (717221),MP,23010090,15:24,9,LK,11,1.1,FAIL,73.66,4.93,23.78,-0.78,0.35,0.69,53.41,"0,78 dunkler","0,35 röter","0,69 gelber",0.71,3145 (01.03.2023 10:06:27)
675,BP 110/02 (717221),ZSK 70.5,23010092,6:30,9,LK,11,2.13,FAIL,73.77,4.86,25.09,-0.67,0.28,2,55.51,"0,67 dunkler","0,28 röter","2,00 gelber",1.08,3146 (01.03.2023 10:08:36)
676,BP 110/02 (717221),ZSK 70.8,23010092,6:30,9,LK,11,2,FAIL,72.65,5.39,23.51,-1.78,0.81,0.42,53.91,"1,78 dunkler","0,81 röter","0,42 gelber",1.52,3147 (01.03.2023 10:09:48)
677,BP 110/02 (717221),ZSK 70.5+8,23010092,06:45 AA,9,LK,11,1.69,FAIL,73.27,5.26,24.11,-1.16,0.68,1.02,54.49,"1,16 dunkler","0,68 röter","1,02 gelber",1.12,3148 (01.03.2023 10:11:40)
678,BP 110/02 (717221),ZSK 70.5,23010091,18:12,9,LK,11,1.84,FAIL,74.18,4.91,24.88,-0.25,0.33,1.79,54.98,"0,25 dunkler","0,33 röter","1,79 gelber",0.89,3150 (01.03.2023 11:08:05)
679,BP 110/02 (717221),ZSK 70.8,23010091,18:14,9,LK,11,2.4,FAIL,72.23,5.44,23.5,-2.21,0.86,0.41,54.16,"2,21 dunkler","0,86 röter","0,41 gelber",1.82,3151 (01.03.2023 11:09:06)
680,BP 110/02 (717221),ZSK 70.5+8,23010091,18:00 AA,9,LK,11,1.26,FAIL,73.52,5.03,23.83,-0.91,0.45,0.75,53.67,"0,91 dunkler","0,45 röter","0,75 gelber",0.84,3152 (01.03.2023 11:10:17)
681,BP 110/02 (717221),MP,23010091,5:46,9,LK,11,1.56,FAIL,73.65,5.07,24.34,-0.78,0.49,1.26,54.51,"0,78 dunkler","0,49 röter","1,26 gelber",0.89,3153 (01.03.2023 11:11:17)
682,BP 110/02 (717221),ZSK 70.5,23010092,11:00,9,LK,11,4.02,FAIL,71.69,5.6,25.84,-2.75,1.03,2.75,58.63,"2,75 dunkler","1,03 röter","2,75 gelber",2.51,3155 (01.03.2023 11:14:59)
683,BP 110/02 (717221),ZSK 70.9,99230076,13:58,9,Trainee,11,3.42,FAIL,77.57,3.31,22.59,3.14,-1.27,-0.5,47.97,"3,14 heller","1,27 weniger rot","0,50 weniger gelb",2.57,3163 (01.03.2023 14:24:18)
684,BP 110/02 (717221),ZSK 70.5,23010092,14:13,9,Trainee,11,3.97,FAIL,71.96,5.69,25.98,-2.48,1.12,2.89,58.8,"2,48 dunkler","1,12 röter","2,89 gelber",2.4,3164 (01.03.2023 14:28:43)
685,BP 110/02 (717231),ZSK 70.8,23010092,18:00,9,Trainee,11,0.9,Warnung,73.59,4.88,22.99,-0.84,0.3,-0.1,52.04,"0,84 dunkler","0,30 röter","0,10 weniger gelb",0.7,3169 (02.03.2023 12:26:42)
686,BP 110/02 (717231),ZSK 70.5+8,23010092,18:00 AA,9,Trainee,11,1.92,FAIL,73.11,4.96,24.42,-1.32,0.38,1.33,54.81,"1,32 dunkler","0,38 röter","1,33 gelber",1.19,3170 (02.03.2023 12:30:25)
687,BP 110/02 (717231),MP,23010092,0:21,9,Trainee,11,1.67,FAIL,73.26,5.02,24.19,-1.17,0.44,1.11,54.41,"1,17 dunkler","0,44 röter","1,11 gelber",1.06,3171 (02.03.2023 12:32:54)
688,BP 110/02 (717231),ZSK 70.5,23010092,18:00,9,Trainee,11,1.95,FAIL,73.07,4.96,24.43,-1.36,0.38,1.34,54.85,"1,36 dunkler","0,38 röter","1,34 gelber",1.22,3172 (02.03.2023 12:35:35)
689,BP 110/02 (717231),ZSK 70.5,23010160,6:00,9,Trainee,11,1.69,FAIL,73.66,4.78,24.57,-0.77,0.2,1.49,54.62,"0,77 dunkler","0,20 röter","1,49 gelber",0.92,3180 (02.03.2023 13:03:47)
690,BP 110/02 (717231),ZSK 70.5+8,23010160,6:00,9,Trainee,11,2.29,FAIL,72.88,5.05,24.7,-1.55,0.48,1.62,55.51,"1,55 dunkler","0,48 röter","1,62 gelber",1.41,3181 (02.03.2023 13:05:40)
691,BP 110/02 (717231),ZSK 70.8,23010160,12:00,9,Trainee,11,1.95,FAIL,74.28,3.94,21.25,-0.16,-0.64,-1.84,47.73,"0,16 dunkler","0,64 weniger rot","1,84 weniger gelb",1.02,3182 (02.03.2023 13:08:04)
692,BP 110/02 (717231),ZSK 70.8,23010160,13:10,9,Trainee,11,1.23,FAIL,74.24,4.08,21.97,-0.2,-0.49,-1.11,49.17,"0,20 dunkler","0,49 weniger rot","1,11 weniger gelb",0.67,3186 (02.03.2023 13:21:21)
693,BP 110/02 (717221),ZSK 70.5,23010161,6:00,,GL,11,1.81,FAIL,73.81,4.87,24.76,-0.62,0.29,1.68,54.94,"0,62 dunkler","0,29 röter","1,68 gelber",0.93,3188 (03.03.2023 12:05:30)
694,BP 110/02 (717221),ZSK 70.5+8,23010161,06:00 AA,,GL,11,0.2,PASS,74.5,4.39,23.13,0.06,-0.19,0.04,51.34,"0,06 heller","0,19 weniger rot","0,04 gelber",0.2,3189 (03.03.2023 12:07:33)
695,BP 110/02 (717221),ZSK 70.5,23010160,18:33,,GL,11,1.17,FAIL,74.57,4.46,24.24,0.14,-0.12,1.16,53.27,"0,14 heller","0,12 weniger rot","1,16 gelber",0.62,3190 (03.03.2023 12:12:08)
696,BP 110/02 (717221),ZSK 70.8,23010160,18:33,,GL,11,1.97,FAIL,75.51,3.91,21.58,1.08,-0.67,-1.5,47.73,"1,08 heller","0,67 weniger rot","1,50 weniger gelb",1.19,3191 (03.03.2023 12:14:50)
697,BP 110/02 (717221),ZSK 70.5+8,23010160,18:00 AA,,GL,11,0.52,PASS,74.87,4.29,23.09,0.44,-0.28,0,51.01,"0,44 heller","0,28 weniger rot","0,00 gelber",0.42,3192 (03.03.2023 12:16:31)
698,BP 110/02 (717221),MP,23010160,20:34 AA,,GL,11,0.71,PASS,75.06,4.26,23.1,0.63,-0.32,0.01,50.89,"0,63 heller","0,32 weniger rot","0,01 gelber",0.56,3193 (03.03.2023 12:18:27)
699,BP 110/02 (717221),ZSK 70.8,23010161,6:00,,GL,11,2.35,FAIL,76.13,3.73,21.7,1.7,-0.85,-1.39,47.47,"1,70 heller","0,85 weniger rot","1,39 weniger gelb",1.57,3194 (03.03.2023 12:22:35)
700,BP 110/02 (717221),MP,23010161,09:50 AA,,GL,11,0.35,PASS,74.23,4.53,23.36,-0.2,-0.05,0.28,52.02,"0,20 dunkler","0,05 weniger rot","0,28 gelber",0.22,3195 (03.03.2023 12:24:11)
701,BP 110/02 (717321),ZSK 70.5,23010162,18:35,9,TP,11,1,FAIL,74.41,4.64,24.09,-0.02,0.06,1,53.27,"0,02 dunkler","0,06 röter","1,00 gelber",0.49,3225 (06.03.2023 09:19:29)
702,BP 110/02 (717321),ZSK 70.8,23010162,18:36,9,TP,11,2.28,FAIL,76.05,3.9,21.62,1.61,-0.68,-1.47,47.54,"1,61 heller","0,68 weniger rot","1,47 weniger gelb",1.47,3226 (06.03.2023 09:21:40)
703,BP 110/02 (717321),ZSK 70.5+8,23010162,18:00 AA,9,TP,11,1.21,FAIL,75.27,4.14,22.33,0.84,-0.43,-0.75,49.36,"0,84 heller","0,43 weniger rot","0,75 weniger gelb",0.79,3227 (06.03.2023 09:23:14)
704,BP 110/02 (717321),MP,23010162,0:42,9,TP,11,1.39,FAIL,75.29,4.12,22.1,0.85,-0.46,-0.99,48.92,"0,85 heller","0,46 weniger rot","0,99 weniger gelb",0.86,3228 (06.03.2023 09:24:47)
705,BP 110/02 (717321),ZSK 70.5+8,23010163,9:20,10,TP,11,1.32,FAIL,74.87,4.34,21.86,0.44,-0.23,-1.23,48.92,"0,44 heller","0,23 weniger rot","1,23 weniger gelb",0.7,3236 (06.03.2023 11:58:26)
706,BP 110/02 (717231),ZSK 70.8,23010163,9:37,10,TP,11,1.3,FAIL,74.9,4.17,21.94,0.46,-0.41,-1.14,48.88,"0,46 heller","0,41 weniger rot","1,14 weniger gelb",0.71,3237 (06.03.2023 12:01:44)
707,BP 110/02 (717231),ZSK 70.5,23010163,9:38,10,TP,11,1.66,FAIL,73.61,4.91,24.48,-0.82,0.33,1.4,54.61,"0,82 dunkler","0,33 röter","1,40 gelber",0.92,3238 (06.03.2023 12:03:25)
708,BP 110/02 (717221),MP,22010829-1,6:00,,JH,11,1.54,FAIL,75.24,4.4,21.79,0.81,-0.18,-1.3,48.68,"0,81 heller","0,18 weniger rot","1,30 weniger gelb",0.88,3240 (06.03.2023 12:49:49)
709,BP 110/02 (717221),ZSK 70.8,23010164,6:22,10,LK,11,2.42,FAIL,76.02,3.88,21.4,1.59,-0.7,-1.68,47.16,"1,59 heller","0,70 weniger rot","1,68 weniger gelb",1.51,3267 (07.03.2023 13:36:21)
710,BP 110/02 (717221),ZSK 70.5+8,23010164,06:00 AA,10,LK,11,0.85,Warnung,75.08,4.2,22.68,0.64,-0.38,-0.4,50.11,"0,64 heller","0,38 weniger rot","0,40 weniger gelb",0.61,3268 (07.03.2023 13:37:31)
711,BP 110/02 (717221),MP,23010164,,10,LK,11,0.15,PASS,74.41,4.43,23.08,-0.02,-0.15,0,51.35,"0,02 dunkler","0,15 weniger rot","0,00 weniger gelb",0.14,3269 (07.03.2023 13:38:40)
712,BP 110/02 (717221),ZSK 70.5,23010164,6:21,10,LK,11,0.95,FAIL,74.3,4.42,24.01,-0.13,-0.16,0.92,52.98,"0,13 dunkler","0,16 weniger rot","0,92 gelber",0.53,3270 (07.03.2023 13:39:45)
713,BP 110/02 (717221),ZSK 70.5,23010163,18:00,10,LK,11,1.84,FAIL,74.16,4.62,24.9,-0.28,0.04,1.82,54.76,"0,28 dunkler","0,04 röter","1,82 gelber",0.92,3271 (07.03.2023 13:41:37)
714,BP 110/02 (717221),ZSK 70.8,23010163,18:00,10,LK,11,1.86,FAIL,75.64,3.95,21.82,1.21,-0.63,-1.26,48.12,"1,21 heller","0,63 weniger rot","1,26 weniger gelb",1.18,3272 (07.03.2023 13:42:34)
715,BP 110/02 (717221),ZSK 70.5+8,23010163,18:00,10,LK,11,0.2,PASS,74.6,4.48,23.1,0.17,-0.1,0.02,51.33,"0,17 heller","0,10 weniger rot","0,02 gelber",0.16,3273 (07.03.2023 13:43:30)
716,BP 110/02 (717221),MP,23010163,19:33,10,LK,11,0.16,PASS,74.29,4.57,23.15,-0.15,-0.01,0.06,51.66,"0,15 dunkler","0,01 weniger rot","0,06 gelber",0.11,3274 (07.03.2023 13:44:38)
717,BP 110/02 (717221),ZSK 70.5+8,23010166,6:00,10,LK,11,2.49,FAIL,72.23,5.37,23.94,-2.2,0.79,0.85,54.86,"2,20 dunkler","0,79 röter","0,85 gelber",1.81,3278 (08.03.2023 09:10:40)
718,BP 110/02 (717221),ZSK 70.5,23010166,7:03,10,LK,11,4.3,FAIL,71.23,5.83,25.67,-3.2,1.25,2.58,58.82,"3,20 dunkler","1,25 röter","2,58 gelber",2.82,3279 (08.03.2023 09:11:50)
719,BP 110/02 (717221),ZSK 70.4,23120035,18:00 AA,10,LK,11,2.16,FAIL,75.78,3.85,21.55,1.34,-0.73,-1.53,47.5,"1,34 heller","0,73 weniger rot","1,53 weniger gelb",1.36,3281 (08.03.2023 09:15:10)
