,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
232,BP 110/02 (717231),ZSK 70.8,22010708,6:00,43,SK,11,1.39,FAIL,73.46,5.18,23.87,-0.98,0.6,0.78,53.91,"0,98 dunkler","0,60 röter","0,78 gelber",0.94,910 (25.10.2022 12:47:46)
233,BP 110/02 (717221),MP,22010708,7:11,43,AK,11,0.85,Warnung,74.06,5.12,23.61,-0.37,0.55,0.53,53.11,"0,37 dunkler","0,55 röter","0,53 gelber",0.59,924 (27.10.2022 10:50:37)
234,BP 110/02 (717221),MP,22010708,7:11,43,AK,11,1.32,FAIL,73.71,5.32,23.9,-0.72,0.74,0.82,53.97,"0,72 dunkler","0,74 röter","0,82 gelber",0.89,925 (27.10.2022 10:52:17)
235,BP 110/02 (717221),MP,22010708,7:11,43,AK,11,0.55,PASS,74.24,5.05,23.29,-0.2,0.47,0.21,52.4,"0,20 dunkler","0,47 röter","0,21 gelber",0.46,926 (27.10.2022 10:54:31)
236,BP 110/02 (717221),MP,22010708,7:11,43,AK,11,1.29,FAIL,73.7,5.36,23.8,-0.73,0.78,0.72,53.85,"0,73 dunkler","0,78 röter","0,72 gelber",0.91,927 (27.10.2022 10:55:40)
237,BP 110/02 (717221),MP,22010708,7:11,43,AK,11,1.5,FAIL,73.43,5.44,23.79,-1,0.87,0.71,54.06,"1,00 dunkler","0,87 röter","0,71 gelber",1.1,928 (27.10.2022 10:57:02)
238,BP 110/02 (717221),ZSK 70.8,22010709,18:00,43,LK,11,1.34,FAIL,73.42,5.14,23.75,-1.02,0.57,0.67,53.7,"1,02 dunkler","0,57 röter","0,67 gelber",0.94,944 (27.10.2022 12:29:01)
239,BP 110/02 (717221),ZSK 70.8,22010709,18:00 AA,43,LK,11,0.4,PASS,74.34,4.93,23.26,-0.09,0.35,0.18,52.17,"0,09 dunkler","0,35 röter","0,18 gelber",0.33,945 (27.10.2022 12:30:08)
240,BP 110/02 (717221),ZSK 70.8,22010709,06:00 AA,43,LK,11,1.22,FAIL,73.59,5.17,23.74,-0.85,0.59,0.66,53.62,"0,85 dunkler","0,59 röter","0,66 gelber",0.85,946 (27.10.2022 12:32:01)
241,BP 110/01 (717021),ZSK 70.8,22010709,6:00,43,LK,11,0.47,PASS,74.9,4.56,23.06,0.47,-0.02,-0.03,51.2,"0,47 heller","0,02 weniger rot","0,03 weniger gelb",0.34,947 (27.10.2022 12:33:22)
242,BP 110/01 (717021),ZSK 70.8,22010709,9:35,43,LK,11,0.35,PASS,74.45,4.57,22.74,0.01,-0.01,-0.35,50.87,"0,01 heller","0,01 weniger rot","0,35 weniger gelb",0.18,948 (27.10.2022 12:34:33)
243,BP 110/02 (717221),MP,22010709 1-22,11:50,43,SK,11,1.83,FAIL,73.31,5.52,24.2,-1.12,0.94,1.11,54.88,"1,12 dunkler","0,94 röter","1,11 gelber",1.24,956 (28.10.2022 09:26:29)
244,BP 110/02 (717221),ZSK 70.8,22010710,18:00,43,LK,11,0.59,PASS,74,4.96,23.23,-0.44,0.38,0.14,52.32,"0,44 dunkler","0,38 röter","0,14 gelber",0.48,961 (28.10.2022 10:57:05)
245,BP 110/02 (717221),ZSK 70.8,22010710,18:00 AA,43,LK,11,0.5,PASS,74.52,4.93,23.42,0.08,0.35,0.34,52.37,"0,08 heller","0,35 röter","0,34 gelber",0.34,962 (28.10.2022 10:58:29)
246,BP 110/02 (717221),ZSK 70.8,22010710,06:00 AA,43,LK,11,0.59,PASS,74.86,4.54,22.69,0.43,-0.04,-0.4,50.55,"0,43 heller","0,04 weniger rot","0,40 weniger gelb",0.37,963 (28.10.2022 11:00:18)
247,BP 110/02 (717221),ZSK 70.8,22010710,6:00,43,LK,11,0.7,PASS,73.9,4.97,22.87,-0.53,0.4,-0.22,51.76,"0,53 dunkler","0,40 röter","0,22 weniger gelb",0.58,964 (28.10.2022 11:03:40)
