,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
232,BP 110/02 (717221),ZSK 70.5,22010468,18:00,74.83,4.27,22.98,50.82
233,BP 110/02 (717221),ZSK 70.9,22010468,18:00,76.38,3.97,23.07,49.95
234,BP 110/02 (717221),ZSK 70.11,22160128,6:00,75.1,4.4,20.14,45.83
235,BP 110/02 (717221),ZSK 70.8,22010428,6:00,74.36,4.61,23.44,52.16
236,BP 110/02 (717221),ZSK 70.8,22010428,6:00,74.4,4.65,23.33,51.99
237,BP 110/02 (717221),ZSK 70.8,22010428,18:00,75.08,4.5,23.63,52.02
238,BP 110/02 (717221),ZSK 70.4,22010472,6:00,76.51,3.63,22.15,48
239,BP 110/02 (717221),ZSK 70.9,22010472,6:00,75.15,4.51,23.33,51.5
240,BP 110/02 (717221),ZSK 70.5,22010474,6:00,76.54,3.28,22.35,48
241,BP 110/02 (717221),ZSK 70.4,22010474,6:00,77.39,2.93,21.03,45.01
242,BP 110/02 (717221),ZSK 70.9,22010474,6:00,75.63,3.93,23.46,50.93
243,BP 110/02 (717221),ZSK 70.11,22160129,6:00,1.69,-0.04,-0.65,-28.09
244,BP 110/02 (717221),ZSK 70.9,22010473,18:00,75.01,4.53,24.45,53.47
245,BP 110/02 (717221),ZSK 70.4,22010476,18:00,77.87,2.92,21.07,44.87
246,BP 110/02 (717221),ZSK 70.5,22010476,18:00,76.45,3.69,23.24,49.95
247,BP 110/02 (717221),ZSK 70.9,22010476,18:00,76.26,3.92,23.22,50.21
248,BP 110/02 (717221),ZSK 70.4,22010477,6:00,76.46,3.5,22.28,48.13
249,BP 110/02 (717221),ZSK 70.5,22010477,6:00,75.17,4.41,23.19,51.14
250,BP 110/02 (717221),ZSK 70.9,22010477,6:00,74.43,4.9,24.19,53.69
251,BP 110/02 (717221),ZSK 70.8,22010429,18:00,75.47,4.47,23.77,52.05
252,BP 110/02 (717221),ZSK 70.8,22010429,6:00,72.44,5.6,23.59,54.38
253,BP 110/02 (717221),ZSK 70.12,99220415,11:45,74.82,4.8,22.05,49.72
254,BP 110/02 (717221),ZSK 70.12,99220414,12:05,65.79,7.91,24.5,62.28
255,BP 110/02 (717221),ZSK 70.12,99220416,12:24,75.62,4.44,20.8,46.81
256,BP 110/02 (717221),ZSK 70.8,22010429,18:00,74.31,4.94,24.14,53.7
257,BP 110/02 (717221),ZSK 70.8,22010429,18:00,74.19,4.86,24,53.45
258,BP 110/02 (717221),ZSK 70.4,22010478,18:00,76.04,3.76,22.46,48.86
259,BP 110/02 (717221),ZSK 70.5,22010478,18:00,75.49,4.32,23.13,50.81
260,BP 110/02 (717221),ZSK 70.9,22010478,18:00,75.46,4.4,23.49,51.51
261,BP 110/02 (717221),ZSK 70.8,22010430,10:00,73.36,5.34,24.4,55.02
262,BP 110/02 (717221),ZSK 70.8,22010430,18:00,74.15,5.15,23.58,53.03
263,BP 110/02 (717221),ZSK 70.8,22010504,6:00,75.03,4.69,22.99,51.14
264,BP 110/02 (717221),ZSK 70.8,22010504,6:00,74.63,4.88,23.23,51.94
265,BP 110/02 (717221),ZSK 70.8,22010505,6:00,74.6,4.99,23.92,53.22
266,BP 110/02 (717221),ZSK 70.8,22010504,6:00,73.87,5.26,24.33,54.57
267,BP 110/02 (717221),ZSK 70.8,22010505,10:26,74.28,5.14,23.85,53.42
268,BP 110/02 (717221),ZSK 70.8,22010505,6:00,75.75,4.18,23.15,50.58
269,BP 110/02 (717221),ZSK 70.8,22010506,6:00,75.5,4.47,22.95,50.63
270,BP 110/02 (717221),ZSK 70.8,22010507,18:00,75.87,4.24,23.55,51.25
271,BP 110/02 (717221),ZSK 70.4,22010520,9:15,76.86,3.39,21.91,47.2
272,BP 110/02 (717221),ZSK 70.5,22010520,9:15,76.28,3.94,22.02,48.17
273,BP 110/02 (717221),ZSK 70.9,22010520,10:15,74.95,4.39,23.19,51.23
274,BP 110/02 (717221),ZSK 70.8,22010507,10:15,78.07,3.38,21.77,46.42
275,BP 110/02 (717221),ZSK 70.8,22010507,13:00,74.69,4.52,23.72,52.39
276,BP 110/02 (717221),ZSK 70.8,22010508,18:00,74.46,4.69,24.1,53.31
277,BP 110/02 (717221),ZSK 70.8,22010508,6:00,75.66,4.2,23.28,50.86
278,BP 110/02 (717221),ZSK 70.9,22010526,6:00,74.94,4.66,23.73,52.42
279,BP 110/02 (717221),ZSK 70.8,22010510,10:45,73.31,5.3,23.84,54.05
280,BP 110/02 (717221),ZSK 70.8,22010509,18:00,73.38,5.37,24.38,55.01
281,BP 110/02 (717221),ZSK 70.8,22010510,12:30,72.85,5.65,24.66,56.04
282,BP 110/02 (717221),ZSK 70.8,22010511,6:00,73.2,5.59,24.83,56.09
283,BP 110/02 (717221),ZSK 70.8,22010510,18:00,73.34,5.63,25.15,56.6
284,BP 110/02 (717221),ZSK 70.8,22010511,18:00,73.14,5.67,24.83,56.2
285,BP 110/02 (717221),ZSK 70.8,22010512,8:30,72.79,5.31,24.41,55.31
286,BP 110/02 (717221),ZSK 70.8,22010512,18:00,73.89,4.92,24.74,54.91
287,BP 110/02 (717221),ZSK 70.8,22010513,6:00,72.4,5.66,24.92,56.74
288,BP 110/02 (717221),ZSK 70.4,22010531,18:00,75.81,4.05,23.74,51.42
289,BP 110/02 (717221),ZSK 70.5,22010531,18:00,75.43,4.28,23.3,51.08
290,BP 110/02 (717221),ZSK 70.9,22010531,18:00,74.87,4.51,24.46,53.55
291,BP 110/02 (717221),ZSK 70.5,22010532,6:00,73.9,4.92,23.9,53.49
292,BP 110/02 (717221),ZSK 70.4,22010532,6:00,75.79,3.92,23.45,50.82
293,BP 110/02 (717221),ZSK 70.9,22010532,6:00,74.57,4.62,23.53,52.22
294,BP 110/02 (717221),ZSK 70.8,22010514,6:00,72.48,5.58,24.92,56.62
295,BP 110/02 (717221),ZSK 70.4,22010534,6:00,76.37,3.78,23.17,49.95
296,BP 110/02 (717221),ZSK 70.5,22010534,6:00,74.98,4.44,23.58,51.94
297,BP 110/02 (717221),ZSK 70.9,22010534,6:00,75.23,4.32,23.26,51.14
298,BP 110/02 (717221),ZSK 70.4,22010533,18:00,74.91,4.58,24.14,53.05
