"qs_merkmal_id","wertnum","bemerkg","csnr"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
"235",NULL,NULL,"22800031"
"236","71.67","MP","22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"236",NULL,NULL,"22800031"
"237","0.62","MP","22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"237",NULL,NULL,"22800031"
"238","8.64","MP","22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"238",NULL,NULL,"22800031"
"209","38.41","Muffeloven","22800029"
"209","38.85","Muffeloven","22800027"
"209","37.64","Muffeloven","22800028"
"209","38.85","Muffelofen","22800027"
"209","38.32","Muffeloven","22800030"
"209","38.39","Muffeloven","22800031"
"197","8.9391","MP","22800063"
"197",NULL,NULL,"22800063"
"197",NULL,NULL,"22800063"
"197",NULL,NULL,"22800063"
"197",NULL,NULL,"22800063"
"198","1.411","MP","22800063"
"198",NULL,NULL,"22800063"
"198",NULL,NULL,"22800063"
"198",NULL,NULL,"22800063"
"198",NULL,NULL,"22800063"
"100","0.1","MP","22800063"
"100",NULL,NULL,"22800063"
"100",NULL,NULL,"22800063"
"100",NULL,NULL,"22800063"
"100",NULL,NULL,"22800063"
"188","0.0",NULL,"22800063"
"188","1.0",NULL,"22800063"
"203","0.019","MP","22800063"
"235","16.57","MP","22800063"
"235",NULL,NULL,"22800063"
"235",NULL,NULL,"22800063"
"235",NULL,NULL,"22800063"
"235",NULL,NULL,"22800063"
"236","72.92","MP","22800063"
"236",NULL,NULL,"22800063"
"236",NULL,NULL,"22800063"
"236",NULL,NULL,"22800063"
"236",NULL,NULL,"22800063"
"237","0.34","MP","22800063"
"237",NULL,NULL,"22800063"
"237",NULL,NULL,"22800063"
"237",NULL,NULL,"22800063"
"237",NULL,NULL,"22800063"
"238","7.04","MP","22800063"
"238",NULL,NULL,"22800063"
"238",NULL,NULL,"22800063"
"238",NULL,NULL,"22800063"
"238",NULL,NULL,"22800063"
"197","11.353","6 06.00","22800062"
"197","9.3741","MP","22800062"
"197","7.7503","6 10.30","22800062"
"197","8.9808","6 11.45","22800062"
"197","9.1475","6 18.00","22800062"
"198","1.404","6 06.00","22800062"
"198","1.413","MP","22800062"
"198","1.409","6 10.30","22800062"
"198","1.429","6 11.45","22800062"
"198","1.412","6 18.00","22800062"
"100","0.13","6 06.00","22800062"
"100","0.09","MP","22800062"
"100","0.18","6 10.30","22800062"
"100","0.08","6 11.45","22800062"
"100","0.09","6 18.00","22800062"
"188","0.0",NULL,"22800062"
"188","1.0",NULL,"22800062"
"203","0.074","6 06.00","22800062"
"203","0.035","MP","22800062"
"203","0.09","6 10.30","22800062"
"203","0.065","6 11.45","22800062"
"203","0.026","6 18.00","22800062"
"235","19.08","MP","22800062"
"235",NULL,NULL,"22800062"
"235",NULL,NULL,"22800062"
"235",NULL,NULL,"22800062"
"235",NULL,NULL,"22800062"
"236","71.54","MP","22800062"
"236",NULL,NULL,"22800062"
"236",NULL,NULL,"22800062"
"236",NULL,NULL,"22800062"
"236",NULL,NULL,"22800062"
"237","0.7","MP","22800062"
"237",NULL,NULL,"22800062"
"237",NULL,NULL,"22800062"
"237",NULL,NULL,"22800062"
"237",NULL,NULL,"22800062"
"238","7.91","MP","22800062"
"238",NULL,NULL,"22800062"
"238",NULL,NULL,"22800062"
"238",NULL,NULL,"22800062"
"238",NULL,NULL,"22800062"
"197","9.7546","AA 18.00","22800046"
"197","9.9455","MP","22800046"
"197",NULL,NULL,"22800046"
"197",NULL,NULL,"22800046"
"197",NULL,NULL,"22800046"
"198","1.414","AA 18.00","22800046"
"198","1.409","MP","22800046"
"198",NULL,NULL,"22800046"
"198",NULL,NULL,"22800046"
"198",NULL,NULL,"22800046"
